epoch,cpu_seconds,rss_bytes,accepted
1785606065.103,0.21,199024640.0,760.0
1785606065.428,0.39,201838592.0,1709.0
1785606065.751,0.56,201969664.0,2629.0
1785606066.083,0.7300000000000001,201969664.0,3576.0
1785606066.421,0.9099999999999999,201969664.0,4564.0
1785606066.758,1.08,201764864.0,5511.0
1785606067.092,1.26,201945088.0,6443.0
1785606067.428,1.4400000000000002,201945088.0,7344.0
1785606067.763,1.6,201945088.0,8327.0
1785606068.106,1.79,201945088.0,9277.0
1785606068.450,1.96,201945088.0,10244.0
1785606068.784,2.13,201945088.0,11240.0
1785606069.128,2.27,201945088.0,12000.0
1785606069.182,2.2800000000000002,201945088.0,12000.0
