epoch,cpu_seconds,rss_bytes,accepted
1785605986.341,0.19,197500928.0,847.0
1785605986.671,0.35000000000000003,200613888.0,1850.0
1785605987.003,0.5,200744960.0,2929.0
1785605987.336,0.66,200744960.0,3943.0
1785605987.673,0.8200000000000001,200744960.0,4971.0
1785605988.003,0.98,200744960.0,6010.0
1785605988.336,1.13,200744960.0,7056.0
1785605988.679,1.29,200744960.0,8130.0
1785605989.024,1.4500000000000002,200744960.0,9163.0
1785605989.363,1.6099999999999999,200876032.0,10209.0
1785605989.714,1.78,201007104.0,11305.0
1785605990.066,1.8699999999999999,201138176.0,12000.0
1785605990.110,1.8699999999999999,201138176.0,12000.0
