epoch,cpu_seconds,rss_bytes,accepted
1785605956.781,0.19,195878912.0,777.0
1785605957.109,0.35,201756672.0,1800.0
1785605957.435,0.51,202018816.0,2808.0
1785605957.759,0.66,202280960.0,3801.0
1785605958.093,0.81,202280960.0,4843.0
1785605958.428,0.98,202674176.0,5901.0
1785605958.757,1.13,202674176.0,6917.0
1785605959.104,1.3,202805248.0,7965.0
1785605959.451,1.4500000000000002,202805248.0,9040.0
1785605959.786,1.6,202805248.0,10105.0
1785605960.132,1.78,202805248.0,11145.0
1785605960.479,1.9,202805248.0,12000.0
1785605960.527,1.9,202805248.0,12000.0
