epoch,cpu_seconds,rss_bytes,accepted
1785606048.393,0.2,197844992.0,674.0
1785606048.722,0.35000000000000003,202391552.0,1554.0
1785606049.053,0.51,202391552.0,2424.0
1785606049.388,0.66,202391552.0,3328.0
1785606049.729,0.8200000000000001,202522624.0,4204.0
1785606050.064,0.99,202653696.0,5066.0
1785606050.403,1.15,202653696.0,6047.0
1785606050.741,1.32,202653696.0,7028.0
1785606051.081,1.47,202653696.0,8040.0
1785606051.418,1.63,202784768.0,9000.0
1785606051.763,1.7999999999999998,202784768.0,10007.0
1785606052.109,1.97,202784768.0,11007.0
1785606052.457,2.1399999999999997,204943360.0,12000.0
1785606052.492,2.1399999999999997,204943360.0,12000.0
