epoch,cpu_seconds,rss_bytes,accepted
1785605942.036,0.19,199741440.0,787.0
1785605942.358,0.35,200134656.0,1781.0
1785605942.681,0.5,202256384.0,2722.0
1785605943.013,0.66,202387456.0,3748.0
1785605943.349,0.81,202387456.0,4800.0
1785605943.683,0.98,202518528.0,5839.0
1785605944.022,1.1400000000000001,202518528.0,6877.0
1785605944.357,1.3,202780672.0,7903.0
1785605944.697,1.46,202911744.0,8996.0
1785605945.034,1.62,202911744.0,10007.0
1785605945.376,1.77,202911744.0,11077.0
1785605945.731,1.92,202911744.0,12000.0
1785605945.775,1.92,202911744.0,12000.0
