epoch,cpu_seconds,rss_bytes,accepted
1785606001.215,0.2,200663040.0,812.0
1785606001.545,0.35000000000000003,201056256.0,1835.0
1785606001.867,0.51,203218944.0,2855.0
1785606002.202,0.66,203390976.0,3908.0
1785606002.536,0.8200000000000001,203522048.0,4936.0
1785606002.865,0.98,203522048.0,5943.0
1785606003.203,1.13,203522048.0,6993.0
1785606003.543,1.29,203522048.0,8045.0
1785606003.883,1.4400000000000002,203845632.0,9092.0
1785606004.228,1.6,203845632.0,10194.0
1785606004.579,1.77,203976704.0,11243.0
1785606004.932,1.88,203976704.0,12000.0
1785606004.996,1.88,203976704.0,12000.0
