epoch,cpu_seconds,rss_bytes,accepted
1785606016.662,0.19,195375104.0,736.0
1785606016.989,0.36,202260480.0,1769.0
1785606017.320,0.51,202391552.0,2781.0
1785606017.653,0.66,202522624.0,3815.0
1785606017.991,0.8300000000000001,202522624.0,4838.0
1785606018.330,0.98,202522624.0,5913.0
1785606018.669,1.1400000000000001,202653696.0,6922.0
1785606019.007,1.31,202653696.0,7937.0
1785606019.348,1.48,202784768.0,9000.0
1785606019.693,1.6400000000000001,202784768.0,10043.0
1785606020.038,1.8099999999999998,202784768.0,11073.0
1785606020.393,1.95,202784768.0,12000.0
1785606020.454,1.95,202784768.0,12000.0
