epoch,cpu_seconds,rss_bytes,accepted
1785606032.382,0.21000000000000002,199315456.0,793.0
1785606032.709,0.36000000000000004,201793536.0,1768.0
1785606033.040,0.53,201924608.0,2776.0
1785606033.376,0.6900000000000001,202055680.0,3779.0
1785606033.717,0.8500000000000001,202317824.0,4807.0
1785606034.055,1.02,202317824.0,5849.0
1785606034.395,1.1800000000000002,202317824.0,6857.0
1785606034.737,1.34,202498048.0,7871.0
1785606035.075,1.5099999999999998,202498048.0,8906.0
1785606035.419,1.68,202498048.0,9928.0
1785606035.765,1.83,202498048.0,10950.0
1785606036.108,2.0,202498048.0,11985.0
1785606036.152,2.01,202498048.0,12000.0
