epoch,cpu_seconds,rss_bytes,processed
1785693491.258,0.27,203493376.0,30900.0
1785693491.608,0.5,203886592.0,71550.0
1785693491.950,0.74,204062720.0,110800.0
1785693492.294,0.97,204062720.0,150000.0
1785693492.641,1.2,204193792.0,189600.0
1785693492.996,1.45,204193792.0,230300.0
1785693493.351,1.68,204824576.0,268400.0
1785693493.712,1.92,204955648.0,308250.0
1785693494.069,2.16,204955648.0,347400.0
1785693494.434,2.41,204955648.0,389000.0
1785693494.804,2.6599999999999997,204955648.0,429450.0
1785693495.175,2.9,204955648.0,470200.0
1785693495.555,3.14,204955648.0,511450.0
1785693495.932,3.41,204955648.0,553200.0
1785693496.314,3.66,204955648.0,594600.0
1785693496.391,3.7,204955648.0,600000.0
1785693496.703,3.7,204955648.0,600000.0
1785693497.014,3.7,204955648.0,600000.0
1785693497.324,3.71,204955648.0,600000.0
1785693497.634,3.71,204955648.0,600000.0
1785693497.948,3.71,204955648.0,600000.0
