epoch,cpu_seconds,rss_bytes,processed
1785693486.131,0.27,203857920.0,30379.0
1785693486.475,0.5,204251136.0,70450.0
1785693486.822,0.73,205299712.0,109750.0
1785693487.170,0.97,205615104.0,149850.0
1785693487.529,1.21,205877248.0,189050.0
1785693487.887,1.45,206008320.0,230500.0
1785693488.251,1.69,206008320.0,270050.0
1785693488.609,1.87,206327808.0,300000.0
1785693488.668,1.87,206327808.0,300000.0
1785693488.979,1.87,206327808.0,300000.0
1785693489.291,1.87,206327808.0,300000.0
1785693489.603,1.87,206327808.0,300000.0
1785693489.912,1.87,206327808.0,300000.0
1785693490.221,1.8800000000000001,206327808.0,300000.0
