epoch,cpu_seconds,rss_bytes,processed
1785693436.283,0.22999999999999998,199438336.0,10768.0
1785693436.631,0.41000000000000003,201773056.0,25117.0
1785693436.974,0.6000000000000001,201904128.0,39760.0
1785693437.333,0.81,201904128.0,54743.0
1785693437.693,1.0,201904128.0,70595.0
1785693438.045,1.2,202035200.0,86647.0
1785693438.408,1.4000000000000001,202747904.0,102346.0
1785693438.762,1.6,202747904.0,118096.0
1785693439.128,1.8199999999999998,203010048.0,134369.0
1785693439.496,2.0300000000000002,203141120.0,150714.0
1785693439.873,2.23,203141120.0,167824.0
1785693440.251,2.45,203141120.0,184488.0
1785693440.636,2.6399999999999997,203141120.0,200000.0
1785693440.713,2.6399999999999997,203141120.0,200000.0
1785693441.020,2.6399999999999997,203141120.0,200000.0
1785693441.323,2.6399999999999997,203141120.0,200000.0
1785693441.629,2.6399999999999997,203141120.0,200000.0
1785693441.934,2.65,203141120.0,200000.0
1785693442.241,2.65,203141120.0,200000.0
