epoch,cpu_seconds,rss_bytes,processed
1785693463.035,0.24000000000000002,200167424.0,23230.0
1785693463.382,0.46,202313728.0,52707.0
1785693463.729,0.6699999999999999,202764288.0,80952.0
1785693464.078,0.89,202895360.0,110595.0
1785693464.431,1.11,203399168.0,140000.0
1785693464.789,1.33,203587584.0,169869.0
1785693465.151,1.55,203718656.0,199802.0
1785693465.515,1.78,203849728.0,229704.0
1785693465.891,2.01,203849728.0,260408.0
1785693466.261,2.23,203980800.0,291024.0
1785693466.638,2.47,203980800.0,321870.0
1785693467.004,2.69,203980800.0,352311.0
1785693467.386,2.92,204111872.0,382987.0
1785693467.780,3.05,204111872.0,400000.0
1785693467.868,3.05,204111872.0,400000.0
1785693468.178,3.05,204111872.0,400000.0
1785693468.489,3.0599999999999996,204111872.0,400000.0
1785693468.798,3.0599999999999996,204111872.0,400000.0
1785693469.106,3.0599999999999996,204111872.0,400000.0
1785693469.416,3.07,204111872.0,400000.0
